nr,lat_orig,lon_orig,hell_orig,rdx_orig,rdy_orig,nap_orig,lat_calc,lon_calc,hell_calc,rdx_calc,rdy_calc,nap_calc,lat_diff,lon_diff,hell_diff,rdx_diff,rdy_diff,nap_diff
30018461,48.667707979,-2.396456310,243.4830,-418110.0948,105039.7483,inf,inf,inf,inf,-418071.3764,104975.8235,243.4830,-inf,-inf,-inf,-38.7184,63.9248,inf
30018462,52.325376907,-0.320410140,141.9447,-233823.8562,497260.3269,inf,inf,inf,inf,-233804.7988,497149.3817,141.9447,-inf,-inf,-inf,-19.0574,110.9452,inf
30018463,52.347335179,1.782223773,315.7159,-90569.9968,490490.5844,inf,inf,inf,inf,-90568.8806,490379.3671,315.7159,-inf,-inf,-inf,-1.1162,111.2173,inf
30018464,56.802758107,1.980608569,41.2656,-53383.5992,985623.8960,inf,inf,inf,inf,-53382.9551,985453.8433,41.2656,-inf,-inf,-inf,-0.6441,170.0527,inf
30018465,57.351481644,1.191007625,154.4298,-97986.5865,1049366.8051,inf,inf,inf,inf,-97979.8200,1049189.5066,154.4298,-inf,-inf,-inf,-6.7665,177.2985,inf
30018466,55.314530603,2.256866193,138.5887,-43839.6960,819075.7603,95.6840,55.315879388,2.256792748,95.6840,-43841.6558,818925.4194,138.5887,-0.001348785,0.000073445,42.9047,1.9598,150.3409,-42.9047
30018467,49.170064660,6.606963311,107.3274,243998.1726,131619.1685,inf,inf,inf,inf,243954.5512,131547.1906,107.3274,-inf,-inf,-inf,43.6214,71.9779,inf
30018468,54.079394953,4.022754368,289.7651,65681.8376,677995.2754,248.3332,54.080606051,4.022972426,248.3332,65664.9977,677860.7520,289.7651,-0.001211098,-0.000218058,41.4319,16.8399,134.5234,-41.4319
30018469,48.019439166,-2.776177098,18.7540,-453911.1203,36170.9380,inf,inf,inf,inf,-453868.5271,36115.2189,18.7540,-inf,-inf,-inf,-42.5932,55.7191,inf
30018470,49.784237702,6.009256194,322.8162,199813.2105,199414.1278,inf,inf,inf,inf,199775.6571,199334.6321,322.8162,-inf,-inf,-inf,37.5534,79.4957,inf
30018471,53.631190812,1.195131984,21.1215,-122231.4754,635343.9767,inf,inf,inf,inf,-122225.1871,635215.9607,21.1215,-inf,-inf,-inf,-6.2883,128.0160,inf
30018472,50.935562916,0.266573106,40.4944,-204761.1779,339912.6583,inf,inf,inf,inf,-204747.0714,339819.9250,40.4944,-inf,-inf,-inf,-14.1065,92.7333,inf
